id,title,created,description_from_url,description
566881453,Technicien contrôle électrique H/F,2017-06-08T05:15:34Z,1,client société industriel spécialiser domaine recherche actuellement durée mois minimum nouveau technicien spécialiser fiabilisation électrique sous responsabilité charger amélioration continu maintenance candidat amener réaliser contrôle ensemble installation armoire électrique effectuer relever dysfonctionnement surconsommation énergie constaté formation type bt électrotechnique candidat disposer première expérience domaine maintenance câblage électrique souhaiter intégrer environnement fortement normé hay engager insertion professionelle person situation handicap résumé type poste temporaire secteur activité industrie production localisation obernai spécialité industrie ingénierie salaire fixe prime réf date limite wed jul bst contacter consulter parler thibaut bersinger consulter spécialiser charge cette offre situéer strasbourg hay strasbourg quai kléber strasbourg téléphone partagez offre offre similaire technicien contrôle électrique h f nouveau selon profil nouveau selon profil fixe nouveau selon profil nouveau selon profil expérience closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566881487,Superviseur de montage machines spéciales H/F,2017-06-08T05:15:35Z,1,leader mondial matière intra logistique spécialiser le technologie convoyage levage le système tri distribution client mettre cœur déployer projet innovant clients travers culture entreprise baséer confiance recruton cadre développement france étranger superviseur montage rattacher service sav filial baséer bron après solide formation le machines charge supervision miser route test machines le site clients préser terrain supervisez le équipe sous traitant formez main œuvre local veiller respect norme sécurité site reportez faire suivre le non conformité assurer reporting régulier enfin interlocuteur privilégier client formation ingénieur bac ingénierie généraliste electrique mécanique parler écrire angler couramment éventuellement autre langue familiarisez facilement nouveau produit comprendre le fonctionnalité système tri complexe expérimenter m office habitude travailler culture étrangère impliquez bon qualité communication ainsi compétence relationnelle organiser désireux fournir système qualité le déler imparti cadre préci envie voyager jour année travers monde flexible aimer honorer engagement bon sen affaires hay engager insertion professionelle person situation handicap résumé type poste cdi secteur activité industrie production localisation rhône spécialité industrie ingénierie salaire selon profil réf contacter consulter parler mathilde lageneste consulter spécialiser charge cette offre situéer lyon hay lyon rue grolée lyon téléphone partagez offre offre similaire superviseur montage machines spécial h f selon profil selon profil nouveau selon profil nouveau avoir négocier nouveau closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566881583,Technicien maintenance préventive H/F,2017-06-08T05:15:36Z,1,client entreprise intervenir secteur haute technologie recherche cadre accroissement structure technicien maintenance préventif afin sécuriser processu production sein service maintenance préventif atelier unité fabrication technicien maintenance devoir réaliser intervention maintenance ensemble parc machine comprendre principalement contrôle démontage remontage pièce nettoyage remise configuration participer planification opération maintenance fonction priorité équipe collaboration coordinateur maintenance ainsi chef équipe production commande pièce détachéer sous ensemble aide différent outil sap application interne fonction planning intervention contribuer définition utilisation entretien outillage spécifique enfin proposer participer réparation sous ensemble site sous traitance analyse le intervention publier le compte rendure journalier recrutement recherchon candidat formation bac type bt maintenance industriel bt système electronique hay engager insertion professionelle person situation handicap résumé type poste cdi secteur activité industrie production localisation bouches rhône spécialité industrie ingénierie salaire réf date limite aug bst contacter consulter parler christophe verreaux consulter spécialiser charge cette offre situéer pari achat logistique pari achat amp logistique boulevard haussmann pari téléphone partagez offre offre similaire technicien maintenance préventif h f fixe nouveau fixe nouveau selon expérience nouveau brut annuel closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566881580,Chef de chantier électricité / production énergie H/F,2017-06-08T05:15:36Z,1,client pme indépendant spécialiste conception installation électrique central hydroélectrique entreprise recrute chef chantier réalisation travau hydroélectricité moyenne tension raccordement bt automatisme étroit collaboration charger affaires assurer préparation intervention chantier garantissez bon exécution transmettez le élément reporting budget charger affaires manière hebdomadaire jusqu bilan chantier quantitatif qualitatif aussi encadrez animez le équipe travau affectéer monteur tant représenter entreprise chantier relation directe client entretenir ainsi relations qualité ensemble interlocuteur professionnel terrain chef chantier également solliciter réaliser régulièrement intervention seul équipe réduiter manière général participer exécution travau pilote maîtrise le technique savoir faire issre formation technique electricité débuter carrière tant electricien câbleur occuper depuis moins an poste chef chantier tel décrire ci dessus cette expérience idéalement acquiser installation électrique industriel domaine spécialiser production énergie savoir faire importer hta bt maîtrise parfait travau exécution obligatoire agir poste baser sud toulouse nombreux déplacement toute france hay engager insertion professionelle person situation handicap résumé type poste cdi secteur activité construction bâtiment travau public localisation grand déplacement baser toulouse spécialité génie electrique climatique salaire selon protil réf contacter consulter parler charlotte chapel consulter spécialiser charge cette offre situéer toulouse hay toulouse rue lafayette toulouse téléphone partagez offre offre similaire chef chantier électricité production énergie h f nouveau selon profil nouveau selon profil nouveau fixe avantages nouveau selon profil closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566881686,Technicien données règlementaires chimie H/F,2017-06-08T05:15:43Z,0,client société industriel acteur leader domaine cadre projet certification recherchon durée mois minimum technicien donnée réglementaire domaine chimie contexte assistez responsable veille réglementaire hse réalisation le miser jour fiche sécurité produit finir participer veille réglementaire hse analysez le résultat issure veille réglementaire
566881691,Technicien de maintenance H/F,2017-06-08T05:15:44Z,1,client acteur incontournable secteur suite accroissement activité recherchon compte technicien maintenance disponible immédiatement poste pourvoir cdi sous supervision responsable maintenance charge maintenance préventif curatif équipement installation matériaux fabrication le plans automatisme mécanique pneumatique electrique intervenir parc machine hétéroclit mesure agir polyvalence envie le différent pan cause panne issre formation technique niveau bac type electrotechnique msma posséder expérience réussier poste similaire hay engager insertion professionelle person situation handicap résumé type poste cdi secteur activité industrie production localisation haute marne spécialité industrie ingénierie salaire fixe réf contacter consulter parler mathieu nini consulter spécialiser charge cette offre situéer nancy hay nancy etage rue stanisla nancy téléphone partagez offre offre similaire technicien maintenance h f selon profil selon profil nouveau selon profil nouveau attractif selon profil nouveau closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566881708,Chef de chantier électromécanique H/F,2017-06-08T05:15:45Z,1,équipementier fournisseur solution logistique monde entier client recherche chef chantier sous direction responsable chantier assurer gestion chantier diriger le travau montage câblage ainsi réaliser suivre installation aussi assurer gestion logistique exécution test puis coordonnez le intervention prestataire véritable leader technique managez le équipe propre sous traiter point ancrage entre client le service interne le équipe place niveau bac moins an expérience poste similaire déjà réaliser montage machine électromécanicien angler courant prêt déplacer france étranger jusqu semaine mois poste pourvoir immédiatement hay engager insertion professionelle person situation handicap résumé type poste cdi secteur activité industrie production localisation rhône spécialité industrie ingénierie salaire selon profil réf contacter consulter parler mathilde lageneste consulter spécialiser charge cette offre situéer lyon hay lyon rue grolée lyon téléphone partagez offre offre similaire chef chantier électromécanique h f nouveau selon profil nouveau selon profil selon profil nouveau selon profil closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566881793,Technicien ERP H/F,2017-06-08T05:15:48Z,1,client spécialiser industrie situer littoral recherche technicien erp directement rattacher responsable qualité mettre place sap service qualité charge intégration complète logiciel mettre place matériel informatique nécessaire enfin formez équipe qualité utilisation cet erp issre formation bac minimum moins an expérience poste similaire rigoureux autonome maîtrisez très bien sap bon notion angler poste intérim hay engager insertion professionelle person situation handicap résumé type poste temporaire secteur activité industrie production localisation caler spécialité industrie ingénierie salaire selon expérience réf contacter consulter parler tristan goethal consulter spécialiser charge cette offre situéer lille hay lille rue jean roisin lille téléphone partagez offre offre similaire technicien erp h f nouveau selon profil fixe nouveau selon profil nouveau fixe prime nouveau selon profil closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566882037,Technicien de maintenance H/F,2017-06-08T05:15:51Z,1,client entreprise plein développement secteur chimie recherche technicien maintenance industriel directement rattacher responsable maintenance assurer bon fonctionnement outil production intervenir le dépannage maintenance préventif avoir titre dépannez ensemble parc machines technique usine le domaine activité suivant électricité mécanique pneumatique hydraulique automatisme aussi réalisez le réglage changement format machines emballage thermoformeux miser sous film etuyeux plus répondre demande dépannage travau neuf différent service participez implantation nouveau matériel production puis réalisez reporting intervention effectuéer ainsi suivre magasin pièce détachéer enfin participez réunion maintenance production issre formation type bac maintenance industriel posséder expérience moins an idéalement poste secteur agroalimentaire posséder compétence soudure froid lecture plan électrique schéma mécanique maîtrisez le outil bureautique détenez le habilitation électrique suivant b1v br bc méthodique rigoureux réactif autonome savoir prendre recul lors intervention hay engager insertion professionelle person situation handicap résumé type poste cdi secteur activité industrie production localisation hérault spécialité industrie ingénierie salaire réf contacter consulter parler julie puydoyeux consulter spécialiser charge cette offre situéer montpellier hay montpellier avenue théroigne méricourt montpellier téléphone partagez offre offre similaire technicien maintenance h f selon profil selon profil nouveau selon profil nouveau attractif selon profil nouveau closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
566882072,Ingénieur électrotechnique H/F,2017-06-08T05:15:52Z,1,client fabricant machines spécial secteur aéronautique recherche cadre développement ingénieur electrotechnicien site baser bordeaux avoir titre candidat charge conception électrotechnique sécurité machines aussi réaliser le schéma électrique pneumatique puis participer démarrage installation atelier site chez client intervenir également le développement automatisme titulaire diplôme type ingénieur disposer bon connaissance électrotechnique disposer idéalement connaissance général réseaux profibu profinet ainsi norme électrique sécurité machines savoir mettre œuvre axe numérique automate siemen s7 prévoir nombreux déplacement étranger chez le clients pratique angler donc nécessaire hay engager insertion professionelle person situation handicap résumé type poste cdi secteur activité industrie production localisation girond spécialité industrie ingénierie salaire selon profil réf contacter consulter parler laura gomez consulter spécialiser charge cette offre situéer bordeaux hay bordeaux rue condillac bordeaux téléphone partagez offre offre similaire ingénieur électrotechnique h f nouveau selon profil nouveau selon profil nouveau closer position fixed right text align center top width display none closer after color fff content cursor pointer display inline block faire size faire weight bold padding position absolute z index transform rotate
